YearEnd,Year,Rk,Unique Team,Team,ABR,CONF,G,W,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,2013-14,21,BrooklynNets14,Brooklyn Nets,BRK,E,82,44,242.4,35.7,77.9,0.459,8.6,23.4,0.369,27.1,54.5,0.497,18.4,24.4,0.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5
14,2013-14,23,CharlotteBobcats14,Charlotte Hornets,CHA,E,82,43,242.7,36.3,82.1,0.442,6.3,17.9,0.351,30,64.1,0.468,18,24.4,0.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9
14,2013-14,30,ChicagoBulls14,Chicago Bulls,CHI,E,82,48,243,34.7,80.2,0.432,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7
14,2013-14,22,ClevelandCavaliers14,Cleveland Cavaliers,CLE,E,82,33,243,37,84.8,0.437,7.1,20,0.356,29.9,64.8,0.461,17,22.7,0.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20,98.2
14,2013-14,8,DallasMavericks14,Dallas Mavericks,DAL,W,82,49,241.8,39.6,83.6,0.474,8.8,22.9,0.384,30.8,60.7,0.508,16.8,21.1,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20,104.8
14,2013-14,9,DenverNuggets14,Denver Nuggets,DEN,W,82,36,240.9,38.4,85.9,0.447,8.6,23.9,0.358,29.8,62,0.481,19.1,26.3,0.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23,104.4
14,2013-14,14,DetroitPistons14,Detroit Pistons,DET,E,82,29,241.2,38.8,86.9,0.447,6.2,19.3,0.321,32.6,67.6,0.483,17.3,25.7,0.67,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101
14,2013-14,10,GoldenStateWarriors14,Golden State Warriors,GSW,W,82,51,241.8,39.5,85.4,0.462,9.4,24.8,0.38,30,60.6,0.496,15.9,21.1,0.753,10.9,34.4,45.3,23.3,7.8,5,15.2,21.8,104.3
14,2013-14,2,HoustonRockets14,Houston Rockets,HOU,W,82,54,241.8,38,80.5,0.472,9.5,26.6,0.358,28.5,54,0.529,22.1,31.1,0.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7
14,2013-14,24,IndianaPacers14,Indiana Pacers,IND,E,82,56,241.2,36,80.2,0.449,6.7,18.8,0.357,29.3,61.4,0.477,18.1,23.3,0.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7
14,2013-14,1,LosAngelesClippers14,Los Angeles Clippers,LAC,W,82,57,240.9,39.1,82.5,0.474,8.5,24,0.352,30.7,58.5,0.525,21.2,29.1,0.73,10.5,32.5,43,24.6,8.6,4.8,13.9,21.5,107.9
14,2013-14,11,LosAngelesLakers14,Los Angeles Lakers,LAL,W,82,27,240.3,38.3,85.1,0.45,9.4,24.8,0.381,28.8,60.3,0.478,17,22.4,0.757,9.1,32,41,24.5,7.5,5.4,15.1,19.8,103
14,2013-14,27,MemphisGrizzlies14,Memphis Grizzlies,MEM,W,82,50,241.5,38.1,82,0.464,4.9,14,0.353,33.1,68,0.487,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1
14,2013-14,12,MiamiHeat14,Miami Heat,MIA,E,82,54,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.558,17.5,23,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2
14,2013-14,28,MilwaukeeBucks14,Milwaukee Bucks,MIL,E,82,15,242.4,36,82.2,0.438,6.7,18.9,0.353,29.3,63.2,0.464,16.8,22.5,0.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5
14,2013-14,3,MinnesotaTimberwolves14,Minnesota Timberwolves,MIN,W,82,40,242.1,38.9,87.5,0.444,7.3,21.4,0.341,31.6,66.1,0.478,21.8,28.1,0.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9
14,2013-14,18,NewOrleansPelicans14,New Orleans Pelicans,NO,W,82,34,242.1,37.8,82.5,0.459,5.9,15.9,0.373,31.9,66.6,0.479,18.2,23.6,0.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7
14,2013-14,20,NewYorkKnicks14,New York Knicks,NYK,E,82,37,242.1,36.9,82.2,0.449,9.3,24.9,0.372,27.7,57.3,0.482,15.5,20.4,0.761,10.6,29.7,40.3,20,7.7,4.5,13,22.1,98.6
14,2013-14,5,OklahomaCityThunder14,Oklahoma City Thunder,OKC,W,82,59,241.5,39,82.7,0.471,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25,0.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2
14,2013-14,25,OrlandoMagic14,Orlando Magic,ORL,E,82,23,243.4,36.9,82.7,0.445,6.9,19.5,0.353,30,63.3,0.474,15.9,20.9,0.763,9.7,32.4,42,21,7.7,4.3,14.9,20.5,96.5
14,2013-14,19,Philadelphia76ers14,Philadelphia 76ers,PHI,E,82,19,242.1,37.9,87.2,0.435,7,22.5,0.312,30.9,64.7,0.477,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4,16.9,22.5,99.5
14,2013-14,7,PhoenixSuns14,Phoenix Suns,PHO,W,82,48,240.9,38.7,83.5,0.463,9.3,25.1,0.372,29.4,58.4,0.503,18.5,24.4,0.758,11.3,31.7,43,19.1,8.4,4.6,15.3,21.9,105.2
14,2013-14,4,PortlandTrailBlazers14,Portland Trail Blazers,POR,W,82,54,242.1,39.1,87,0.45,9.4,25.3,0.372,29.7,61.7,0.481,19.1,23.5,0.815,12.5,34,46.4,23.2,5.5,4.7,13.7,19.2,106.7
14,2013-14,17,SacramentoKings14,Sacramento Kings,SAC,W,82,28,241.8,36.9,82.5,0.447,6,18,0.333,30.9,64.5,0.479,20.7,27.3,0.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5
14,2013-14,6,SanAntonioSpurs14,San Antonio Spurs,SA,W,82,62,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32,62,0.517,15.7,20,0.785,9.3,34,43.3,25.2,7.4,5.1,14.4,18.2,105.4
14,2013-14,13,TorontoRaptors14,Toronto Raptors,TOR,E,82,48,243.4,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7,4.2,14.1,23,101.3
14,2013-14,29,UtahJazz14,Utah Jazz,UTA,W,82,25,241.2,36,81.1,0.444,6.6,19.2,0.344,29.4,61.9,0.474,16.4,22,0.747,11,30.2,41.2,20.3,7,4.5,14.6,20.7,95
14,2013-14,16,WashingtonWizards14,Washington Wizards,WAS,E,82,44,244.6,38.7,84.4,0.459,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7
13,2012-13,14,AtlantaHawks13,Atlanta Hawks,ATL,E,82,44,242.1,37.6,81,0.464,8.6,23.2,0.371,29,57.8,0.501,14.1,19.7,0.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18,98
13,2012-13,20,BostonCeltics13,Boston Celtics,BOS,E,81,41,244.9,37,79.7,0.465,6.1,17.2,0.358,30.9,62.6,0.494,16.3,21,0.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5
13,2012-13,17,BrooklynNets13,Brooklyn Nets,BRK,E,82,49,242.1,35.9,79.8,0.45,7.7,21.5,0.357,28.2,58.3,0.484,17.5,23.9,0.731,12.8,30,42.8,20.3,7.3,4.8,14.7,18.3,96.9
13,2012-13,26,CharlotteBobcats13,Charlotte Hornets,CHA,E,82,21,241.5,34.4,81.1,0.425,5.7,17.1,0.335,28.7,64,0.448,18.9,25.1,0.75,11.2,29.1,40.3,19.4,7.2,5.8,14.1,19,93.4
13,2012-13,29,ChicagoBulls13,Chicago Bulls,CHI,E,82,45,241.8,35.7,81.7,0.437,5.4,15.4,0.353,30.2,66.3,0.456,16.4,21.2,0.773,12.5,30.7,43.2,23,7.2,5.1,14.3,19.7,93.2
13,2012-13,18,ClevelandCavaliers13,Cleveland Cavaliers,CLE,E,82,24,240.6,36.5,84.2,0.434,6.7,19.3,0.346,29.8,64.9,0.46,16.8,22.3,0.756,12.2,28.8,41,20.7,7.9,4.1,14,21.2,96.5
13,2012-13,8,DallasMavericks13,Dallas Mavericks,DAL,W,82,41,243.7,38.8,84,0.462,7.4,19.9,0.372,31.4,64.2,0.489,16.1,20.4,0.793,9.4,32.6,41.9,23.2,7.9,5.5,14,20.7,101.1
13,2012-13,1,DenverNuggets13,Denver Nuggets,DEN,W,82,57,242.7,40.7,85.2,0.478,6.4,18.5,0.343,34.4,66.6,0.516,18.4,26.2,0.701,13.3,31.7,45,24.4,9.3,6.5,15.3,20.5,106.1
13,2012-13,22,DetroitPistons13,Detroit Pistons,DET,E,82,29,241.5,36.3,81,0.449,6.3,17.6,0.356,30.1,63.4,0.474,15.9,22.8,0.699,12.1,30,42.1,21.2,7,4.9,15.1,19.8,94.9
13,2012-13,7,GoldenStateWarriors13,Golden State Warriors,GSW,W,82,47,241.5,38.2,83.4,0.458,8,19.9,0.403,30.1,63.5,0.475,16.8,21.3,0.79,10.8,34.2,45,22.5,6.9,4.2,15.1,21.4,101.2
13,2012-13,2,HoustonRockets13,Houston Rockets,HOU,W,82,45,241.2,38.1,82.7,0.461,10.6,28.9,0.366,27.5,53.8,0.511,19.2,25.5,0.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106
